"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16"
"1",8,6,4,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,9
"2",8,NA,9,NA,NA,NA,NA,NA,6,NA,NA,7,NA,7,NA,5
"3",NA,NA,7,NA,7,NA,6,8,NA,NA,NA,8,NA,NA,7,NA
"4",NA,9,NA,NA,NA,9,6,NA,4,NA,NA,4,NA,NA,NA,8
"5",7,NA,NA,NA,NA,6,NA,NA,NA,NA,3,NA,NA,5,8,8
"6",NA,9,NA,NA,8,NA,7,8,NA,7,NA,NA,8,NA,NA,NA
"7",9,NA,7,NA,NA,NA,8,8,6,NA,NA,NA,NA,8,NA,NA
"8",6,6,NA,NA,6,8,7,NA,NA,NA,8,NA,NA,NA,NA,NA
"9",NA,NA,8,NA,NA,NA,NA,NA,NA,7,NA,7,NA,4,8,6
"10",NA,NA,NA,NA,NA,NA,NA,8,NA,4,NA,8,7,NA,9,6
"11",NA,NA,NA,NA,7,2,7,8,NA,NA,4,NA,7,NA,NA,NA
"12",7,NA,6,NA,7,NA,4,NA,2,8,NA,NA,NA,NA,NA,NA
"13",NA,1,NA,NA,NA,NA,NA,7,NA,8,3,NA,1,NA,NA,8
"14",NA,7,NA,6,4,8,NA,NA,NA,NA,6,NA,7,NA,NA,NA
"15",6,NA,NA,NA,4,NA,NA,7,NA,6,6,NA,NA,NA,6,NA
"16",2,2,7,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,8,NA,8
"17",NA,8,NA,5,NA,NA,NA,NA,4,4,NA,7,NA,NA,NA,6
"18",7,NA,9,NA,2,NA,NA,NA,NA,6,NA,NA,8,NA,NA,7
"19",NA,NA,NA,7,7,8,NA,7,NA,NA,NA,NA,3,4,NA,NA
"20",4,7,7,7,NA,8,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,3,NA,NA,7,3,3,NA,4,6,NA,NA,NA
"22",4,NA,8,NA,4,NA,NA,9,NA,NA,6,NA,NA,NA,7,NA
"23",NA,NA,NA,8,8,6,NA,NA,7,7,NA,NA,NA,NA,8,NA
"24",7,NA,8,NA,8,8,7,NA,6,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,6,8,8,NA,NA,8,9,NA,NA,6
"26",7,NA,7,NA,7,NA,NA,7,NA,NA,NA,6,NA,NA,NA,6
"27",NA,6,NA,2,NA,NA,NA,NA,6,NA,5,8,NA,3,NA,NA
"28",NA,NA,NA,4,7,NA,NA,4,NA,NA,7,NA,8,7,NA,NA
"29",5,NA,9,NA,7,NA,4,8,NA,NA,NA,6,NA,NA,NA,NA
"30",NA,NA,8,NA,4,NA,7,6,NA,NA,NA,NA,NA,2,4,NA
"31",7,NA,NA,6,NA,9,NA,8,4,NA,NA,NA,NA,8,NA,NA
"32",NA,NA,NA,6,NA,NA,6,8,4,7,NA,NA,7,NA,NA,NA
"33",NA,9,NA,7,NA,8,NA,NA,6,7,4,NA,NA,NA,NA,NA
"34",NA,1,NA,NA,NA,8,7,NA,NA,NA,1,NA,NA,NA,7,9
"35",6,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,8,5
"36",NA,4,NA,7,NA,NA,NA,NA,NA,8,NA,5,7,NA,8,NA
"37",NA,NA,NA,NA,7,9,NA,NA,NA,8,NA,NA,NA,6,7,7
"38",7,NA,NA,4,NA,NA,NA,7,NA,NA,3,NA,5,8,NA,NA
"39",7,9,NA,NA,NA,8,NA,NA,NA,NA,5,NA,NA,NA,6,3
"40",NA,NA,NA,NA,NA,7,6,8,NA,NA,NA,NA,4,NA,3,5
"41",NA,5,NA,NA,7,NA,8,NA,NA,3,NA,8,5,NA,NA,NA
"42",NA,NA,NA,NA,8,8,NA,NA,NA,4,NA,8,6,NA,NA,7
"43",NA,4,NA,7,NA,9,NA,7,4,NA,7,NA,NA,NA,NA,NA
"44",1,NA,8,NA,NA,7,8,NA,NA,NA,NA,NA,NA,1,9,NA
