Field Number,CDS501 Name,Code Name,CDS Code,CDS Code Description,CRASH.SER_NO,DMV Crash Serial Number,CRASH.CRASH_MO_NO,Crash Date Month (MM),CRASH.CRASH_HR_NO,Crash Hour,CRASH.CRASH_CNTY_ID,County,CRASH.CITY_SECT_ID,City,CRASH.URB_AREA_CD,Urban Area,CRASH.FC_CD,Functional Classification,CRASH.NHS_FLG,NHS,CRASH.HWY_NO,Highway Number,CRASH.RDWY_NO,Roadway Number,CRASH.HWY_COMPNT_CD,Highway Component,CRASH.MLGE_TYPE_CD,Mileage Type,CRASH.HWY_CMPNT_CD,Connection Number ,CRASH.SPECL_JRSDCT_ID,Special Jurisdiction,CRASH.ISECT_SEQ_NO,Intersection Sequence Number,FROM_ISECT_DSTNC_QTY,Distance From Nearest Intersection,CRASH.CMPSS_DIR_CD,Direction from Intersection,CRASH.MP_NO,Milepoint,CRASH.POST_SPEED_LMT_VAL,Posted Speed,CRASH.RD_CHAR_CD,Road Character,CRASH.OFF_RDWY_FLG,Off Roadway,CRASH.ISECT_TYP_CD,Intersection Type,CRASH.ISECT_REL_FLG,Intersection Related,CRASH.RNDBT_FLG,Roundabout,CRASH.DRVY_REL_FLG,Driveway Related,CRASH.LN_QTY,Number of Lanes,CRASH.TURNG_LEG_QTY,Number of Turning Legs,CRASH.MEDN_TYP_CD,Median Type,CRASH.CRASH_TYP_CD,Crash Type,CRASH.COLLIS_TYP_CD,Collision Type,CRASH.CRASH.SVRTY_CD,Crash Severity,CRASH.WEATHR_COND_CD,Weather Condition,CRASH.RD_SURF_COND_CD,Road Surface Condition,CRASH.LGT_COND_CD,Light Condition,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device,CRASH.TRAF_CNTL_DEVICE_CD,Traffic Control Device Functional,CRASH.INVSTG_AGY_CD,Investigating Agency,CRASH_CAUSE_EVNT.CRASH_EVNT_,Crash Level Events,CRASH_CAUSE_EVNT.CRASH_CAUSE_,Crash Level Cause,CRASH.SCHL_ZONE_IND,School Zone,CRASH.WRK_ZONE_IND,Work Zone,VHCL.VHCL_CODED_SEQ_NO,Vehicle Number,VHCL.VHCL_OWNSHP_CD,Vehicle Ownership,VHCL.VHCL_USE_CD,Special Use,VHCL.VHCL_TYP_CD,Vehicle Type,VHCL.EMRGCY_VHCL_USE_FLG,Emergency Use,VHCL.TRLR_QTY,Number of Trailers,VHCL.MVMNT_CD,Vehicle Movement,VHCL.CMPSS_DIR_FROM_CD,Direction of Travel From,VHCL.CMPSS_DIR_TO_CD,Direction of Travel To ,VHCL.ACTN_CD,Vehicle Level Action,VHCL_CAUSE_EVNT.VHCL_CAUSE_,Vehicle Level Cause,VHCL_CAUSE_EVNT.VHCL_EVNT_,Vehicle Level Event,VHCL.VHCL_SPEED_FLG,Vehicle Speed Flag - a yes/no field entered at the vehicle level. This field indicates that this vehicle was driven in excess of the posted speed.,VCHL.VHCL_HIT_RUN_FLG,Vehicle Hit and Run - Vehicle Level Hit and Run is a yes/no field that indicates whether the operator fled the scene of the crash in this vehicle.,PARTIC.VHCL_ID,Participant Level Vehicle Number,PARTIC.PARTIC_TYP_CD,Participant Type,PARTIC.PARTIC_HIT_RUN_FLG,Participant Level Hit and Run,PARTIC.PUB_EMPL_FLG,Public Employee,PARTIC.SEX_CD,Sex,PARTIC.AGE_VAL,Age,PARTIC.DRVR_LIC_STAT_CD,Driver License Status,PARTIC.DRVR_RES_STAT_CD,Residence of Driver,PARTIC.INJ_SVRTY_CD,Injury Severity,PARTIC.SFTY_EQUIP_USE_CD,Participant Safety Equipment Use,PARTIC.AIRBAG_DEPLOY_IND,Airbag Deployment,PARTIC.MVMNT_CD,Non-Motorist Movement,PARTIC.CMPSS_DIR_FROM_CD,Non-Motorist Direction of Travel From,PARTIC.CMPSS_DIR_TO_CD,Non-Motorist Direction of Travel To,PARTIC.NON_MOTRST_LOC_CD,Non-Motorist Location,PARTIC_ACTN_CD,Participant Level Action,PARTIC_ERR.CRASH_ERR_CD,Error,PARTIC_CAUSE_ERR_EVNT.PARTIC_CAUSE_,Participant Level Cause,PARTIC_CAUSE_ERR_EVNT.PARTIC_EVNT_,Participant Level Event,PARTIC.BAC_VAL,Blood Alcohol Content (BAC) Test Results,PARTIC.ALCHL_USE_RPT_IND,Alcohol Use Reported,PARTIC.DRUG_USE_RPT_IND,Drug Use Reported,PARTIC.MJ_USE_RPT_IND,Marijuana Use Reported,JRSDCT_GRP.JRSDCT_GRP_CD,Jurisdiction Group,CRASH.ALCHL_INVLV_FLG,Alcohol Involved Flag,CRASH.DRUG_INVLV_FLG,Drug Involved Flag,CRASH.MJ_INVLV_FLG,Marijuana Involved Flag,CRASH.CRASH_SPEED_INVLV_FLG,Speed Involved Flag,Hit and Run Flag,PARTIC.PARTIC_HIT_RUN_FLG,CRASH.POP_RNG_CD,Population Range,CRASH.RD_CNTRL_CD,Road Control,CRASH.RTE_TYP_CD,Route Type,CRASH.RTE_ID,Route Number,CRASH.REG_ID,ODOT Region,CRASH.DIST_ID,ODOT District,CRASH.UNLOCT_FLG,Unlocatable Crash Flag,CRASH.IMPCT_LCT_CD-INTR_CR_CT,Location of Impact:Intersectional Crashes,CRASH.IMPCT_LCT_CD-NONINTR_CR_CT_ST,Location of Impact:Non-Intersectional Crashes on City Streets,CRASH.IMPCT_LCT_CD-NONINTR_CR_CO_RO,Location of Impact:Non-Intersectional Crashes on County Roads,CRASH.IMPCT_LCT_CD-NONINTR_ST_HWY,Location of Impact:Non-Intersectional Crashes on State Highways
1,Crash ID,CRASH_ID,CRASH.CRASH_ID,DMV Crash Serial Number,00001 – 79999 ,Actual 'file' number assigned by DMV 8xxxx 8 leading: indicates original number assigned to incorrect county 9xxxx 9 leading: use when a duplicate serial number was assigned in the same county ,1,January ,00,12:00 a.m. (midnight) - 12:59 a.m. ,01,Baker,,Outside City ,,Outside Area ,01,Rural Interstate,0,No ,,Not on Highway System ,,Not on state highway system,,Not on state highway system,,Not on State Highway System,,Not a ramp or connection on state highway system,1,National Forest,,Crash is Unlocatable ,,Crash occurred on State Highway System or milepointed county road (except for Lane County). Crash occurred on city street or non-milepointed county road where distance from nearest intersection is unknown. ,0,Non-intersectional crash occurred on state highway system outside city limits; crash occurred on a milepointed county road at a non- intersectional location (except for Lane County roads); or in all other cases if direction from second street is unknown. ,,Crash occurred on City Street or non-milepointed County or Other road.,,Unknown or Not Reported. Information is not available on posted speed. ,1,Intersection ,0,No ,,Not intersectional,0,No ,0,No ,0,No ,,Crash occurred inside intersection. ,,Non-intersectional crash,,Crash occurred inside intersection,Alpha|Numeric,Collision with Motor Vehicle in Transport | Other Crash Type,1,Angle,2,Fatal crash,0,Unknown,0,Unknown ,0,Unknown ,0,No control (as stated on Police Report),0,No ,0,Driver report indicates the crash was not investigated by police,1,"Occupant fell, jumped, or was ejected from moving vehicle ",0,No cause associated at this level,,Not reported,,Not reported,1,"Vehicle 01. Assigned sequentially for each vehicle. Always code the striking vehicle first. The term striking vehicle"" refers to the vehicle that initially impacted a second vehicle",0,Not collected for PDO Crashes (Default value for PDO crashes effective 2016)*,0,No special use (Default value for PDO crashes effective 2016)*,1,"Passenger car, pickup, van, light delivery, and custom van ",0,No,0,No trailers attached ,0,Unknown ,0,Unknown ,0,Unknown ,0,No action or non-warranted,0,No cause associated at this level (Default value for PDO crashes effective 2016)*,,Not applicable at this level (Default value for PDO crashes effective 2016)*,0,No (Default value for PDO crashes effective 2016*) ,0,No (Default value for PDO crashes effective 2016*) ,,"Injured pedestrian, pedal-cyclist or other non-motorist",0,Unknown occupant type in a motor vehicle in transport ,0,No (Default value for PDO crashes effective 2016)*,0,No (Default value for PDO crashes effective 2016)*,1,Male ,0,Age is unknown (Default value for PDO crashes effective 2016)*,,Participant is not a driver,,Participant is not a driver,1,Fatal,,"Not applicable (Pedestrians, other types of non-motorists)",,Not reported or not applicable (Default value for PDO crashes effective 2016)*,,Participant is a motorist (Default value for PDO crashes effective 2016)*,0,Unknown,0,Unknown,,Not applicable (Not a non-mototrist) (Default value for PDO crashes effective 2016)*,0,No action or non-warranted (Default value for PDO crashes effective 2016)*,0,No error (Default value for PDO crashes eff. 2016)*,0,None applicable at this level (Default value for PDO crashes eff. 2016)*,1,"Occupant fell, jumped or was ejected from moving vehicle",,Not available,,Not reported; no information provided regarding alcohol use by this participant,,Not reported,,No information is available regarding use of cannabis,1,National Forest,0,No,0,No,0,No,0,No,0,No,0,1 to 500,1,Portland city street,IS,"Interstate route, followed by the number on the shield",IS,"Interstate route, followed by the number on the shield",1,Region 1 - Portland /Metro; Clackamas and Hood River Counties,1,District 1,0,No,0,Left lane of a two lane turning leg ,0,Crash location unknown ,0,Unknown ,0,Varies according to median and number of lanes. All highway system crashes are located by milepoint.
2,Record Type,,,, 99991 – 99999,Indicates fatal crash with no DMV number assigned,2,February ,01,1:00 a.m. to 1:59 a.m. ,02,Benton,01,Adair Village ,01,Albany UA,02,Other Rural Principle Arterial,1,Yes,001,Pacific ,1,Undivided highway; Add-mileage alignment of divided hwy (except I-5 SBD 'non-add' mileage) ,0,Mainline state highway ,0,Regular Mileage,1,Ramp or connection number 1,2,State Forest,0,Non-intersectional crash ,0,"Intersectional crashes within city limits, on non-milepointed county roads, and on Lane county milepointed county roads. ",1,North of nearest intersection ,0,"Actual milepoint to the nearest 0.01 mile. Can be a negative number, the decimal point is assumed. 0 - 99998.99",0,"No statutory limit (i.e. private road open to public, such as logging, etc.) ",2,Driveway or alley access ,1,Yes,0,Unknown intersection type ,1,Yes,1,Yes,1,Yes,1,"Number of all travel lanes, both directions added (Except for highway couplets)",0,No turning legs at intersection ,0,No physical barrier between opposing traffic on single road bed. ,A,Entering at angle - one vehicle stopped,2,Head-On,4,Non-fatal injury crash,1,Clear,1,Dry ,1,Daylight ,1,Traffic signals,1,Yes,1,State Police - Police report has been received,2,Passenger interfered with driver ,1,Speed too fast for conditions (Not exceeding limit),0,No ,0,No ,2,Vehicle 02,1,Private ,1,Police,2,Truck tractor with no trailers (Bobtail) ,1,Yes,1,One trailing unit ,1,Straight ahead ,1,North ,1,North ,1,Skidded,11,Mechanical defect ,4,Pedestrian indirectly involved (Not struck),1,Yes,1,Yes,1,"Number assigned to each occupied vehicle by the Data Entry system, in sequential order",1,Driver (Default value for PDO crashes effective 2016)*,1,Yes,1,Yes,2,Female ,1,Infants from birth to less than two years of age ,0,Not licensed ,1,Oregon resident within 25 miles of home ,2,Incapacitating (Serious\Major),0,No safety equipment used,0,Airbag is available on this vehicle but did not deploy,0,Unknown,1,North,1,North,0,At intersection - not in roadway,2,Getting on or off stopped vehicle or parked vehicle (code for driver or passenger),1,Wide turn,1,Speed too fast for conditions,2,Passenger interfered with driver,0,"Actual BAC test result, in hundredths (Enter the leading zero for values lower than .10)",0,Police report that participant had not been drinking,0,Participant had not been using drugs,0,Negative  ,2,State Forest,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,"501 to 1,000",2,Portland highway system,OR,"Oregon route, followed by the number on the shield",OR,"Oregon route, followed by the number on the shield",2,Region 2 - Willamette Valley and Coast,02B,District 2B,1,Yes,1,Quadrant representing the center of the intersection (see diagram) ,5,Zone within 50 feet of intersection ,1,Same direction - beyond shoulder ,1,"indicates that the crash occurred off roadway, in the direction of the increasing milepoints."
3,Vehicle ID,,PARTIC.VHCL_ID,Participant Level Vehicle Number,,,3,March ,02,2:00 a.m. to 2:59 a.m. ,03,Clackamas,02,Adams ,05,Astoria UA,06,Rural Minor Arterial,,,002,Columbia River,2,Non-add mileage alignment of a divided highway or couplet (except I-5 NBD 'add' mileage) ,1,Couplet; code for both 'add' and 'non-add' sides of the highway , T,Temporary Mileage (Terminated 2015) ,2,Ramp or connection number 2,3,National Park,1,Sequential number assigned to the junction of two roads.,1,"Measurement in feet for city streets and hundredths of a mile for
non-milepointed county roads, special jurisdiction roads, and Lane County roads. ",2,Northeast of nearest intersection ,99998,"Actual milepoint to the nearest 0.01 mile. Can be a negative number, the decimal point is assumed.  0 - 99998.99",5,Actual Posted Speed,3,Straight roadway ,,,1,Cross ,,,,,,,98,"Number of all travel lanes, both directions added (Except for highway couplets)",1,Actual number of turning legs at intersection,1,"Raised median, planter or barrier ",B,Entering at angle - all others,3,Rear-End,5,Property damage only crash (PDO),2,Cloudy,2,Wet ,2,Darkness - with street lights ,2,Flashing beacon - red (stop),,,2,County Police - Police report has been received,3,Animal or insect in vehicle interfered with driver ,2,Did not yield right-of-way,1,Yes ,1,Yes ,99,Vehicle 99 ,2,U.S. (federal) Government ,2,Fire,3,Farm tractor or self-propelled farm equipment (Not truck) ,,,2,Two trailing units ,2,Turning right ,2,Northeast ,2,Northeast ,3,"Overhanging load struck another vehicle, etc.",20,Vehicle improperly parked ,6,Pedal-cyclist indirectly involved (Not struck),,,,,99,"Number assigned to each occupied vehicle by the Data Entry system, in sequential order",2,Passenger,,,,,3,Non-Binary ,"""02-98""",Actual age of participant 2 years or over,1,Valid Oregon license or permit ,2,Oregon resident more than 25 miles from home ,3,Non-incapacitating (Moderate),1,Seat belt or harness used improperly,1,Airbag deployed,1,Straight ahead,2,Northeast,2,Northeast,1,At intersection - inside crosswalk,10,Passenger interfering with driver,2,Cut corner on turn,2,Did not yield right-of-way,3,Animal or insect in vehicle interfered with driver,79,"Actual BAC test result, in hundredths: 0.79",1,Police report that participant had been drinking; or suspect admits it,1,"Participant had been using drugs (Reported by police, test results, or suspect admits it)",1,Positive  ,3,National Park,,,,,,,,,,,2,"1,001 to 2,500",3,Urban city street outside of Portland,US,"US route, followed by the number on the shield",US,"US route, followed by the number on the shield",3,Region 3 - Southwestern Oregon,02C,District 2C,,,2,Quadrant representing the center of the intersection (see diagram) ,6,Zone within 50 feet of intersection ,2,Same direction - shoulder ,2,represents the shoulder of the road.
4,Participant ID,,,,,,4,April ,03,3:00 a.m. to 3:59 a.m. ,04,Clatsop,03,Adrian,07,Baker City UA,07,Rural Major Collector,,,003,Oswego,5,"Mileage on alignment not yet built or mileage on a non-state owned roadway and considered ""located"".",3,Frontage road ,Y,Spur Mileage (Terminated 2010) ,3,Ramp or connection number 3,4,State Park,99,Sequential number assigned to the junction of two roads.,9998,"Measurement in feet for city streets and hundredths of a mile for
non-milepointed county roads, special jurisdiction roads, and Lane County roads. ",3,East of nearest intersection ,99999,Unknown,70,Actual Posted Speed,4,Transition (change in number of lanes) ,,,2,2-legged ,,,,,,,99,Unknown number of lanes,98,Actual number of turning legs at intersection,2,Earth or grass median separating opposing traffic on two road beds,C,From same direction - both going straight,4,Sideswipe-meeting,,,3,Rain,3,Snow ,3,Darkness - no street lights ,3,Flashing beacon - amber (caution),,,3,City Police - Police report has been received,4,Pedestrian indirectly involved (Not struck) ,3,Passed stop sign or red flasher,9,Unknown,9,Unknown,,,3,"Public (city, county, state) ",3,Ambulance,4,Truck tractor with trailer/mobile home in tow ,,,3,Three or more trailing units ,3,Turning left ,3,East ,3,East ,6,Slowed down,21,Defective steering mechanism ,7,Hitchhiker (Soliciting a ride),,,,,,,3,Pedestrian ,,,,,9,Unknown (Default value for PDO crashes effective 2016)*,99,Ninety-nine years of age or over,2,"Valid license, other state or country ",3,Oregon resident - unknown distance from home ,4,Possible injury - complaint of pain (Minor),2,"Seat belt or harness, fastened",9,"Airbag is available on this vehicle, but information about deployment is not given",2,Turning right,3,East,3,East,2,"At intersection - in roadway, outside crosswalk",17,Lost control of vehicle,3,"Failed to obey mandatory traffic turn signal, sign or lane markings",3,Passed stop sign or flashing red,5,"'Sub-Ped' (Pedestrian injured subsequent to initial event, apply to Pedestrian record)",80,.80 or greater,9,Police report that it is unknown if participant had been drinking; or conflicting info exists on driver reports,9,Unknown if participant had been using drugs (As reported by police; no tests available),2,Suspected  ,4,State Park,,,,,,,,,,,3,"2,501 to 5,000",4,Urban highway system outside of Portland city limits,,,,,4,Region 4 - Central Oregon,3,District 3,,,3,Quadrant representing the center of the intersection (see diagram) ,7,Zone 51 feet to mid-block. Reverse these codes at mid-block to reference from the next nearest intersecting road,3,Intended direction of travel of 'striking vehicle' (One or more lanes) ,3,represents the right-hand lane of travel in the direction of increasing milepoints.
5,Participant Display Seq#,,,,,,5,May ,04,4:00 a.m. to 4:59 a.m. ,05,Columbia,04,Albany,09,Bend UA,08,Rural Minor Collector,,,004,The Dalles - California,,,6,Connection,Z,Overlapping,4,Ramp or connection number 4,5,Bureau of Land Management,,,9999,"Distance exceeds 9999 ft., for city street crashes.",4,Southeast of nearest intersection ,,,,,5,Curve (horizontal curve) ,,,3,3-legged ,,,,,,,,,99,Unknown number of turning legs,,,D,"From same direction - one turn, one straight",5,Sideswipe-overtaking,,,4,Sleet / Freezing Rain / Hail,4,Ice,4,Dawn (Twilight) ,4,Stop sign,,,4,Unknown investigating agency - Police report has been received,5," ""Sub-Ped"": pedestrian struck subsequent to collision, etc. ",4,Disregarded traffic signal (Revised 2014),,,,,,,4,Rental vehicle ,4,Hearse,5,"Truck with non-detachable bed: Panel truck, self-propelled crane, tow truck, fire truck, refuse packer, leach packer, log grappler, etc. ",,,8,"Trailing, but number of units unknown ",4,Making a U-turn,4,Southeast ,4,Southeast ,7,* Avoiding maneuver (Successful),22,Inadequate or no brakes ,10,Overturned after first harmful event,,,,,,,4,"Pedestrian using a pedestrian conveyance (wheelchair, skates, etc.) ",,,,,,,,,3,Suspended / revoked 4 Expired ,4,Non-resident ,5,Died prior to crash,3,Child restraint used improperly,,,3,Turning left,4,Southeast,4,Southeast,3,"At intersection - in roadway, unknown if crosswalk is available",22,"Struck, or was struck by, vehicle or pedestrian in prior collision before crash stabilized",4,Left turn in front of oncoming traffic,4,Disregarded traffic signal,7,Hitchhiker (Soliciting a ride),84,Suspect sample,,,,,3,Not Suspected  ,5,Bureau of Land Management,,,,,,,,,,,4,"5,001 to 10,000",5,Rural highway system,,,,,5,Region 5 - Eastern Oregon,4,District 4,,,4,Quadrant representing the center of the intersection (see diagram) ,8,Zone 51 feet to mid-block. Reverse these codes at mid-block to reference from the next nearest intersecting road,4,Centerline or center turn lane ,4,Lanes and Median Combo Sub-Division 4
6,Vehicle Coded Seq#,,VHCL.VHCL_CODED_SEQ_NO,Vehicle Number,,,6,June ,05,5:00 a.m. to 5:59 a.m. ,06,Coos,05,Amity,11,Brookings UA,09,Rural Local,,,005,John Day,,,,,,,5,Ramp or connection number 5,6,Reservation - (Native American Tribal Lands),,,,,5,South of nearest intersection ,,,,,6,Open access or turnout,,,4,4-legged,,,,,,,,,,,,,E,From same direction - one stopped,6,Turning Movement,,,5,Fog,,,5,Dusk (Twilight),5,Slow sign,,,5,On Scene - Police report has not been received,6,Pedal-cyclist indirectly involved (Not struck) (Effective 2014) ,5,Drove left of center on two-way road; straddling the center line,,,,,,,5,Stolen vehicle ,5,Taxi,6,"Moped, mini-bike, motor scooter (seated), or motorized bicycle ",,,9,Unknown,5,Backing ,5,South ,5,South ,8,Parallel parking or parked,24,"Vehicle lost load, load moved or shifted",11,Vehicle being pushed,,,,,,,5,"Pedestrian towing an object, other participant, conveyance, etc. ",,,,,,,,,8,Other non-valid license ,9,Unknown if Oregon resident (Default value for PDO crashes effective 2016)*,7,No injury - newborn to age 4,4,Child restraint used properly,,,4,Making a U-Turn,5,South,5,South,4,Not at intersection - in roadway,24,Dead by unassociated cause,5,Left turn where prohibited,5,Drove left of center on two-way road,8,Passenger or non-motorist being towed or pushed on conveyance (Revised 2014),85,Test refused,,,,,9,Unknown  ,6,Indian Reservation,,,,,,,,,,,5,"10,001 to 25,000",6,Rural county road,,,,,,,5,District 5,,,5,Zone on approach or exit,,,5,Opposing direction - traffic lane(s) ,5,Lanes and Median Combo Sub-Division 5
7,Participant Vehicle Seq#,,,,,,7,July ,06,6:00 a.m. to 6:59 a.m. ,07,Crook,06,Antelope,13,Canby UA,11,Urban Interstate,,,006,Old Oregon Trail,,,,,,,6,Ramp or connection number 6,7,Other Federal Jurisdiction,,,,,6,Southwest of nearest intersection ,,,,,7,Grade / Hill (vertical curve) ,,,5,5-legged ,,,,,,,,,,,,,F,From same direction - all others,7,Parking Maneuver,,,6,Snow,,,,,6,Regulatory sign,,,6,Tribal Police,7,Hitchhiker (Soliciting a ride) ,6,Improper overtaking,,,,,,,9,Unknown ownership,6,Logging,7,"School bus, or van used to transport students ",,,,,6,Stopped in traffic ,6,Southwest ,6,Southwest ,9,Angle parking or parked,25,Tire failure ,12,Vehicle towed or had been towing another vehicle,,,,,,,6,Pedal-cyclist ,,,,,,,,,9,Unknown if driver was licensed (Default value for PDO crashes effective 2016)*,,,9,No injury - participant over age 4 (Default value for PDO crashes effective 2016)*,5,Helmet used improperly,,,5,Backing,6,Southwest,6,Southwest,5,Not at intersection - on shoulder,25,"Fatigued, sleepy, asleep",6,Turned from wrong lane,6,Improper overtaking,9,Actively getting on or off stopped or parked vehicle. (Must have physical contact with vehicle),86,No test administered,,,,,,,7,Other Federal Jurisdiction,,,,,,,,,,,6,"25,001 to 50,000",7,Rural city street,,,,,,,7,District 7,,,6,Zone on approach or exit,,,6,Opposing direction - shoulder ,6,Lanes and Median Combo Sub-Division 6
8,Serial #,SER_NO,CRASH.SER_NO,,,,8,August ,07,7:00 a.m. to 7:59 a.m. ,08,Curry,07,Arlington,17,Coos Bay-North Bend UA,12,Urban Other Freeways and Expressways,,,007,Central Oregon,,,,,,,7,Ramp or connection number 7,8,Other Type Jurisdiction (non-federal land),,,,,7,West of nearest intersection ,,,,,8,Bridge structure (including overpass and underpass) ,,,6,6-legged ,,,,,,,,,,,,,G,From opposite direction - both going straight,8,Non-collision,,,7,Dust,,,,,7,Yield sign (Effective 2006),,,7,Other Police (includes safety and security officers),8,Passenger or non-motorist being towed or pushed on conveyance ,7,Followed too closely,,,,,,,,,7,"Farm (""F"" Plate)",8,"Other bus - For flexi-bus or articulated bus, code ""trailer""  ",,,,,7,Parked - properly ,7,West ,7,West ,11,* Stopped in traffic not waiting to make a left turn,26,Phantom / non-contact vehicle,13,"Vehicle forced by impact into other vehicle, cyclist or pedestrian",,,,,,,7,"Pedal-cyclist towing an object, other participant, conveyance, etc. ",,,,,,,,,,,,,,,6,Helmet used properly,,,6,Stopped in traffic,7,West,7,West,6,Not at intersection - on median,26,Driver blinded by sun,7,Turned into wrong lane,7,Followed too closely,80,"Struck by rock or other object set in motion by other vehicle, including lost loads (Do not use with code '081')",87,"Test administered, results unknown",,,,,,,8,Other Type Jurisdiction (non-federal land),,,,,,,,,,,7,"50,001 to 100,000",8,Sub-urban highway system,,,,,,,8,District 8,,,9,Right lane of a two lane turning leg or a single lane turning leg,,,7,Opposing direction - beyond shoulder,7,Lanes and Median Combo Sub-Division 7
9,Crash Month,CRASH_MO_NO,CRASH.CRASH_MO_NO,Crash Date Month (MM),,,9,September,08,8:00 a.m. to 8:59 a.m. ,09,Deschutes,08,Ashland,19,Corvallis UA,14,Urban Other Principle Arterial,,,008,Oregon-Washington,,,,,,,8,Ramp or connection number 8,9,Unknown Jurisdiction,,,,,8,Northwest of nearest intersection ,,,,,9,Tunnel ,,,7,7-legged ,,,,,,,,,,,,,H,"From opposite direction - one left turn, one straight",9,Fixed-Object or Other-Object,,,8,Smoke,,,,,8,Warning sign (Effective 2006),,,,,9,Actively getting on or off stopped or parked vehicle (must have physical contact with vehicle) ,8,Made improper turn,,,,,,,,,8,Military,9,"Motorcycle, dirt bike. For side car, code ""trailer""  ",,,,,8,Parked - improperly ,8,Northwest,8,Northwest,12,"* Stopped because of left turn signal or waiting, etc.",,,14,"Vehicle set in motion by non-driver (Child released brakes, etc.)",,,,,,,8,Occupant of a parked motor vehicle ,,,,,,,,,,,,,,,8,"Equipment used, type unknown",,,,,8,Northwest,8,Northwest,7,"Not at intersection - beyond shoulder, but within trafficway right-of-way",27,Driver blinded by headlights,8,U-turned illegally,8,Made improper turn,81,"Struck by rock or other moving, falling or flying object (Do not use with code '080')",,,,,,,,,9,Unknown Jurisdiction,,,,,,,,,,,8,"100,001 to 200,000",9,Sub-urban road,,,,,,,9,District 9,,,,,,,,,8,Lanes and Median Combo Sub-Division 8
10,Crash Day,CRASH_DAY_NO,,,,,10,October,09,9:00 a.m. to 9:59 a.m. ,10,Douglas,09,Astoria,21,Cottage Grove UA,16,Urban Minor Arterial,,,009,Oregon Coast,,,,,,,9,Ramp or connection number 9,,,,,,,9,Center of the Intersection,,,,,0,Unknown,,,8,8-legged ,,,,,,,,,,,,,I,From opposite direction - one stopped,0,Pedestrian,,,9,Ash,,,,,9,Curve sign (Effective 2006),,,,,10,Overturned after first harmful event ,10,* Other improper driving,,,,,,,,,9,Unknown use,10,"Other vehicle type: Forklift, backhoe, mailster, go-cart, golf cart, lawnmower, snowplow, street cleaner, road grader, ice cream scooter, meter maid scooter ",,,,,9,Parking maneuver,,,,,13,* Stopped while executing a turn,,,17,Train struck vehicle,,,,,,,9,"Other type of non-motorist (occupant of a non-motor vehicle, horse-drawn carriage, etc.)",,,,,,,,,,,,,,,9,Unknown if used (Default value for PDO crashes effective 2016)*,,,,,,,,,8,Not at intersection - in bike path or parking (Terminated 2015),28,Physically ill,9,Improperly stopped in traffic lane,10,Other improper driving,82,Vehicle obscured view,,,,,,,,,,,,,,,,,,,,,9,"Over 200,000",,,,,,,,,10,District 10,,,,,,,,,9,Lanes and Median Combo Sub-Division 9
