search_term,url
sheep running in field ,https://www.youtube.com/watch?v=pUrYNXQIiSM
sheep running in field ,https://www.youtube.com/watch?v=6hFMaRFyVSU
sheep running in field ,https://www.youtube.com/watch?v=qLDhx4SDKUI
sheep running in field ,https://www.youtube.com/watch?v=jS1HxsnhA3c
sheep running in field ,https://www.youtube.com/watch?v=UrKkchVOOAs
sheep running in field ,https://www.youtube.com/watch?v=cTvNSy-81KI
dog agility course,https://www.youtube.com/watch?v=tyunqxGGD9k
dog agility course,https://www.youtube.com/watch?v=80NQLXXQwRM
dog agility course,https://www.youtube.com/watch?v=qiXnJ0mCdlc
dog agility course,https://www.youtube.com/watch?v=hxMsVbFr1Bc
dog agility course,https://www.youtube.com/watch?v=ND2wihZiR_Q
dog agility course,https://www.youtube.com/watch?v=kqnB76cQSd0
dog agility course,https://www.youtube.com/watch?v=fxxwFuffzDE
dogs playing,https://www.youtube.com/watch?v=uON_08RFCyE
dogs playing,https://www.youtube.com/watch?v=cSd5gYfRgoY
dogs playing,https://www.youtube.com/watch?v=mDbyA3ufDQk
dogs playing,https://www.youtube.com/watch?v=GKuG4fftJdk
dogs playing,https://www.youtube.com/watch?v=uijmBBUmG7Y
dogs playing,https://www.youtube.com/watch?v=ZHwlmvuW4NY
dog tv,https://www.youtube.com/watch?v=noUchHnGiCY
dog tv,https://www.youtube.com/watch?v=s6JcZlxviSU
dog tv,https://www.youtube.com/watch?v=YZ8KpZsxySM
dog tv,https://www.youtube.com/watch?v=owaxeMdk_ew
dog tv,https://www.youtube.com/watch?v=fuEDZY6FEYs
dog tv,https://www.youtube.com/watch?v=I4KCmFfVm34
cattle in field,https://www.youtube.com/watch?v=-r8ROxXGXKw
cattle in field,https://www.youtube.com/watch?v=JlXfjBRAKgs
cattle in field,https://www.youtube.com/watch?v=huT5__BqY_U
cattle in field,https://www.youtube.com/watch?v=fQHt1W2togc
cattle in field,https://www.youtube.com/watch?v=EtO2DDFlnrI
cattle in field,https://www.youtube.com/watch?v=QhLMlA3Wb8w
cattle in field,https://www.youtube.com/watch?v=K_EsxukdNXM
dogs chasing balls,https://www.youtube.com/watch?v=TFg1krcFzc8
dogs chasing balls,https://www.youtube.com/watch?v=3W0u1LxsniM
dogs chasing balls,https://www.youtube.com/watch?v=ZtpLvumSTzI
dogs chasing balls,https://www.youtube.com/watch?v=EcaXVl4ThQ8
dogs chasing balls,https://www.youtube.com/watch?v=obEZTF_Rr7E
dogs chasing balls,https://www.youtube.com/watch?v=oIPC-1YK0ao
