search_term,url,title,rating,duration,position,description,category,keywords
sheep running in field ,https://www.youtube.com/watch?v=pUrYNXQIiSM,Lambs running & playing,5.0,558,0,,,"['lambs', 'sheep', 'baby sheep', 'baby lamb', 'funny', 'cute', 'baby animals']"
sheep running in field ,https://www.youtube.com/watch?v=6hFMaRFyVSU,Yard Work. New Imported Australian bloodlines to Devonairs kelpie stud.,4.4721041,231,0,Eveready Bob and Eveready kelpies working in the yard owned by Eveready kelpies. Eveready Bob is the sire of Normanhurst Rock and Normanhurst Strike and the same breeding as Eveready Maid who I imported in from Australia. Tracy Huxtable of Devonairs Working Kelpies.,,"['Devonairs kelpies', 'Eveready kelpies. working kelpies.']"
sheep running in field ,https://www.youtube.com/watch?v=qLDhx4SDKUI,Sheep running around and saying baaaaa! | BEST SHEEP VIDEO IN THE WORLD | MUST WATCH,4.9319148,51,0,"Best sheep video ever made. Sheep are running around a field saying baaah, and having a lot of fun! 

Please like and subscribe if you enjoyed watching this video!",,"['sheep', 'running', 'happy', 'happy sheep', 'grass', 'goats', 'funny', 'animals', 'funny sheep', 'playing', 'sheep playing', 'funny animal', 'videos']"
sheep running in field ,https://www.youtube.com/watch?v=jS1HxsnhA3c,Sheep running.AVI,4.8117647,58,0,"Sheep　running
Mother　Farm　in　Japan",,"['Sheep', 'running']"
sheep running in field ,https://www.youtube.com/watch?v=UrKkchVOOAs,Relax with Sheep at Shafer Vineyards in Napa Valley - 6 hours 4K,4.9549041,22418,0,"Each year a large herd of sheep visits Shafer Vineyards during springtime here in Napa Valley. They come to naturally mow the abundant cover crop that grows in our vine rows, which is an important part of our approach to sustainable farming. Everyone at the winery loves it when the sheep arrive. There's something about their presence that is calming, cheering, and peaceful.


During the upheaval and uncertainty in the world right now, we wanted to share the pastoral beauty of this with you.


These images of beautiful sheep grazing in our vineyards are set to the music of songbirds, the vineyard breeze, occasionally the geese on our pond, and of course the sheep themselves. Think of it as our version of one of those logs-burning-in-a-fireplace videos that can play in the background of your day at home.


We've repeated one hour of footage to give you a total of six hours of wine country tranquility. This was shot during March 2020 here on our property by Napa Films. The sheep come to us from the folks at Woolly Weeders.

Stay strong and stay well.",,[]
sheep running in field ,https://www.youtube.com/watch?v=cTvNSy-81KI,Lambs Running,5.0,68,0,“If we could live happy and healthy lives without harming others... why wouldn’t we?” www.edgarsmission.org.au,,"['lamb', 'lambs', 'cute', 'animals', 'sanctuary', 'kindness']"
dog agility course,https://www.youtube.com/watch?v=tyunqxGGD9k,Best of Masters Agility Championship at Westminster | WKC,4.9034481,732,0,Westminster Kennel Club | 7th Annual Masters Agility Championship at Westminster,,[]
dog agility course,https://www.youtube.com/watch?v=80NQLXXQwRM,Watch Fame(US) win the 2018 Masters Agility Championship | FOX SPORTS,4.9243178,273,0,"Fame(US) wins the 2018 Masters Agility Championship #FOXSports

SUBSCRIBE to get the latest FOX Sports content: http://foxs.pt/SubscribeFOXSPORTS

▶First Things First's YouTube channel: http://foxs.pt/SubscribeFIRSTTHINGSFIRST
►UNDISPUTED’s YouTube channel: http://foxs.pt/SubscribeUNDISPUTED 
▶The Herd with Colin Cowherd’s YouTube channel: http://foxs.pt/SubscribeTHEHERD
▶Speak For Yourself's YouTube Channel: http://foxs.pt/SubscribeSPEAKFORYOURSELF
►UFC on FOX’s YouTube channel: http://foxs.pt/SubscribeUFCONFOX
►FOX Soccer’s YouTube channel: http://foxs.pt/SubscribeFOXSOCCER
 
Like Fox Sports on Facebook: http://foxs.pt/FOXSPORTSFacebook
Follow Fox Sports on Twitter: http://foxs.pt/FOXSPORTSTwitter 
Follow Fox Sports on Instagram: http://foxs.pt/FOXSPORTSInstagram

About FOX Sports:
With exclusive highlights, original programming, and behind the scenes footage, FOX Sports' YouTube channel provides the sports content that fans are hungry for. FOX Sports coverage includes: College Basketball, College Football, MLB, NASCAR, NFL, Soccer, UFC, USGA events and the FIFA World Cup. FS1 original programs include: Undisputed, The Herd, Speak for Yourself, First Things First and more.

Watch Fame(US) win the 2018 Masters Agility Championship | FOX SPORTS
https://www.youtube.com/watch?v=80NQLXXQwRM

Fox Sports
https://www.youtube.com/c/FoxSports",,"['westminster kennel club', 'kennel', 'club', 'dog', 'show', 'dog show', 'wkc', 'agility', 'FOX', 'FOX Sports', 'news', 'highlights', 'Westminster', 'Fame(US)']"
dog agility course,https://www.youtube.com/watch?v=qiXnJ0mCdlc,"Large Dog Agility 1st Place - Incredible Dog Challenge 2015 Huntington Beach, CA",4.8772902,158,0,"Watch the 1st place finish from Joy & Cindy Grayin the Large Dog Agility competition at the 2015 Incredible Dog Challenge in Huntington Beach, CA

From basic commands to agility, the P5 Dog Training App provides expert training in the palm of your hand.  Available for iOS here: https://itunes.apple.com/us/app/purina-pro-plan-p5/id587010884 and Android here: https://play.google.com/store/apps/details?id=com.proplan.p5.android

Subscribe to Pro Plan Dog on YouTube: http://puri.na/ProPlanDog

Learn more about Pro Plan Dog and our pet food products: http://www.proplan.com

Connect with Pro Plan Dog on our Facebook page: https://www.facebook.com/proplandog

Add Pro Plan Dog on Google+: https://plus.google.com/+proplan

Download the Dog Training App for iPhone: https://itunes.apple.com/us/app/purina-pro-plan-p5/id587010884

Download the Dog Training App for Android: https://play.google.com/store/apps/details?id=com.proplan.p5.android",,"['flying disc', 'incredible dog challenge', 'incredible dog challenge 2015', 'incredible dog challege 2014', 'incredible dog challenge huntington beach', 'incredible dog challenge tv schedule', 'dog competition', 'dog competitions']"
dog agility course,https://www.youtube.com/watch?v=hxMsVbFr1Bc,P!nk the border collie wins back-to-back titles at the 2019 WKC Masters Agility | FOX SPORTS,4.9531913,140,0,"P!nk the border collie wins back-to-back titles in the 16"" class at the 2019 WKC Masters Agility. P!nk ran a time of 31.23.

#FOXSports #WKC #Pink 

SUBSCRIBE to get the latest FOX Sports content: http://foxs.pt/SubscribeFOXSPORTS

▶First Things First's YouTube channel: http://foxs.pt/SubscribeFIRSTTHINGSFIRST
►UNDISPUTED’s YouTube channel: http://foxs.pt/SubscribeUNDISPUTED 
▶The Herd with Colin Cowherd’s YouTube channel: http://foxs.pt/SubscribeTHEHERD
▶Speak For Yourself's YouTube Channel: http://foxs.pt/SubscribeSPEAKFORYOURSELF
►UFC on FOX’s YouTube channel: http://foxs.pt/SubscribeUFCONFOX
►FOX Soccer’s YouTube channel: http://foxs.pt/SubscribeFOXSOCCER
 
Like Fox Sports on Facebook: http://foxs.pt/FOXSPORTSFacebook
Follow Fox Sports on Twitter: http://foxs.pt/FOXSPORTSTwitter 
Follow Fox Sports on Instagram: http://foxs.pt/FOXSPORTSInstagram

About FOX Sports:
With exclusive highlights, original programming, and behind the scenes footage, FOX Sports' YouTube channel provides the sports content that fans are hungry for. FOX Sports coverage includes: College Basketball, College Football, MLB, NASCAR, NFL, Soccer, UFC, USGA events and the FIFA World Cup. FS1 original programs include: Undisputed, The Herd, Speak for Yourself, First Things First and more.

P!nk the border collie wins back-to-back titles at the 2019 WKC Masters Agility | FOX SPORTS
https://youtu.be/hxMsVbFr1Bc

Fox Sports
https://www.youtube.com/c/FoxSports",,"['westminster kennel club', 'westminster', 'masters agility', 'masters', 'agility', '16 inch division', 'pink', 'P!nk', 'P!nk the border collie', 'WKC', 'FOX SPORTS', 'collie', 'collie wins', 'back-to-back titles', '16', 'class', '2019 WKC Masters Agility', '2019 WKC', 'time of 31.23', 'WKC Masters Agility', 'border collie']"
